        Sum  |  Total Buy  |   Buy Cost  | Total Sell  |  Sell Cost  |   Avg Cost | Agent          
       96.0  |       96.0  |     135.84  |        0.0  |        0.0  |     135.84 | 5858  統一嘉義 
       95.0  |      331.0  |     135.99  |      236.0  |     133.02  |     134.76 | 9692  富邦嘉義 
      62.98  |       63.0  |     133.39  |       0.02  |      136.0  |     133.39 | 9659  富邦高雄 
       35.0  |       35.0  |      133.0  |        0.0  |        0.0  |      133.0 | 918W  群益忠孝 
       30.0  |       30.0  |      133.0  |        0.0  |        0.0  |      133.0 | 5690  豐興     
       23.0  |       30.0  |      133.0  |        7.0  |      133.0  |      133.0 | 9658  富邦建國 
       20.0  |       20.0  |      134.0  |        0.0  |        0.0  |      134.0 | 5600  永興     
       20.0  |       20.0  |      133.0  |        0.0  |        0.0  |      133.0 | 921S  凱基幸福 
       19.0  |       19.0  |      133.0  |        0.0  |        0.0  |      133.0 | 8882  國泰台中 
       19.0  |       20.0  |      133.0  |        1.0  |      136.0  |     133.14 | 9852  元大大松山
       18.0  |       18.0  |      133.0  |        0.0  |        0.0  |      133.0 | 8880  國泰綜合 
       16.0  |       16.0  |      133.0  |        0.0  |        0.0  |      133.0 | 9652  富邦世貿 
       16.0  |       16.0  |      133.5  |        0.0  |        0.0  |      133.5 | 1090  工銀證   
       15.0  |       15.0  |      133.0  |        0.0  |        0.0  |      133.0 | 6465  大昌桃園 
       14.0  |       14.0  |      133.0  |        0.0  |        0.0  |      133.0 | 585E  統一新營 
       13.0  |       13.0  |      133.0  |        0.0  |        0.0  |      133.0 | 9814  元大大益 
       13.0  |       14.0  |      133.0  |        1.0  |      136.0  |      133.2 | 918M  群益嘉義 
       12.0  |       12.0  |      135.5  |        0.0  |        0.0  |      135.5 | 980l  元大虎尾 
       11.0  |       11.0  |     134.82  |        0.0  |        0.0  |     134.82 | 918C  群益古亭 
       11.0  |       12.0  |      133.0  |        1.0  |      136.0  |     133.23 | 1160  日盛     
